,ETF,Date,returns
635.0,FBT,42872.0,1.195468427409181
636.0,FBT,42873.0,1.211475619563472
637.0,FBT,42874.0,1.200992021203833
638.0,FBT,42877.0,1.208319278641859
639.0,FBT,42878.0,1.205050199583477
640.0,FBT,42879.0,1.20595202576882
641.0,FBT,42880.0,1.200992021203833
642.0,FBT,42881.0,1.187803000651595
643.0,FBT,42885.0,1.167737539936169
644.0,FBT,42886.0,1.179122975753838
645.0,FBT,42887.0,1.204937438901335
646.0,FBT,42888.0,1.227257403080345
647.0,FBT,42891.0,1.211475619563472
648.0,FBT,42892.0,1.214406540574981
649.0,FBT,42893.0,1.212039208793137
